RECORD_CREATION_DATE,MONTO_DEL_PRESTAMO,RANGO_DEL_CREDITO,DEUDA_EXISTENTE,NOTAS_DEL_AGENTE,UBICACION_DE_LA_OFICINA,PRESTAMO_INCUMPLIDO
02Apr2015:18:30:59.000000,3500,780-799,"$40,001-$50,000",,SOUTHERN CALIFORNIA,FALSO
02Apr2015:18:45:27.000000,5000,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
03Apr2015:09:17:34.000000,6900,700-719,"$20,001-$30,000",Pagos mensuales de deuda verificados: $490,ARIZONA,FALSO
03Apr2015:09:49:52.000000,19000,700-719,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
03Apr2015:10:07:17.000000,2600,720-739,"$1-$10,000","Pagos mensuales de deuda verificados: $130...Ingreso anual neto: $103,300",NEVADA,FALSO
03Apr2015:10:17:04.000000,2500,760-779,,"Ingreso mensual neto 5,830",SOUTHERN CALIFORNIA,FALSO
03Apr2015:10:25:28.000000,7200,800+,,"Ingreso mensual neto 4,030",SOUTHERN CALIFORNIA,FALSO
03Apr2015:10:35:09.000000,16000,700-719,"$30,001-$40,000",,SOUTHERN CALIFORNIA,FALSO
03Apr2015:11:00:30.000000,2500,800+,,"Ingreso anual neto: $54,700",NORTHERN CALIFORNIA,FALSO
03Apr2015:11:29:24.000000,2500,760-779,"$1-$10,000","Pagos mensuales de deuda verificados: $90...Ingreso mensual neto 11,210",NORTHERN CALIFORNIA,VERDADERO
03Apr2015:11:57:45.000000,5400,700-719,"$90,001-$100,000","Ingreso mensual neto 5,230",SOUTHERN CALIFORNIA,FALSO
03Apr2015:12:20:43.000000,2900,780-799,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
03Apr2015:12:34:16.000000,11800,740-759,"$70,001-$80,000","Ingreso anual neto: $44,100...Pagos mensuales de deuda verificados: $1,260",ARIZONA,FALSO
03Apr2015:12:59:42.000000,29000,800+,"$60,001-$70,000","Ingreso anual neto: $84,600",WASHINGTON STATE,FALSO
03Apr2015:13:06:02.000000,2500,800+,"$10,001-$20,000",,ARIZONA,FALSO
03Apr2015:13:15:43.000000,2500,700-719,"$100,000+",,WASHINGTON STATE,VERDADERO
03Apr2015:13:46:49.000000,4100,760-779,"$10,001-$20,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
03Apr2015:14:10:55.000000,4300,760-779,"$90,001-$100,000","Pagos mensuales de deuda verificados: $1,580",OREGON,FALSO
03Apr2015:14:28:34.000000,2500,780-799,,"El cliente no tiene deuda...Ingreso anual neto: $53,100",NORTHERN CALIFORNIA,FALSO
03Apr2015:14:53:35.000000,2500,740-759,"$1-$10,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
03Apr2015:15:20:42.000000,5700,780-799,,"Ingreso anual neto: $54,400...El cliente no tiene deuda",NORTHERN CALIFORNIA,FALSO
03Apr2015:15:31:45.000000,2500,700-719,"$100,000+","Pagos mensuales de deuda verificados: $1,950",NEVADA,VERDADERO
03Apr2015:15:39:17.000000,7000,760-779,"$60,001-$70,000","Ingreso anual neto: $32,400",NORTHERN CALIFORNIA,FALSO
03Apr2015:16:11:32.000000,2500,700-719,"$1-$10,000","Ingreso anual neto: $46,600",NEVADA,FALSO
03Apr2015:16:20:26.000000,3300,700-719,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
03Apr2015:16:27:10.000000,2500,780-799,"$50,001-$60,000",Pagos mensuales de deuda verificados: $950,NORTHERN CALIFORNIA,FALSO
03Apr2015:16:33:08.000000,3500,780-799,"$10,001-$20,000","Ingreso anual neto: $51,300",NORTHERN CALIFORNIA,FALSO
03Apr2015:17:01:17.000000,2500,780-799,,"Ingreso mensual neto 5,850...El cliente no tiene deuda",SOUTHERN CALIFORNIA,FALSO
03Apr2015:17:17:07.000000,3300,780-799,"$10,001-$20,000","Pagos mensuales de deuda verificados: $230...Ingreso mensual neto 1,250",NORTHERN CALIFORNIA,VERDADERO
03Apr2015:17:32:00.000000,2500,800+,"$70,001-$80,000","Pagos mensuales de deuda verificados: $1,340",NORTHERN CALIFORNIA,FALSO
03Apr2015:17:41:50.000000,5400,740-759,"$1-$10,000","Ingreso anual neto: $15,000",ARIZONA,VERDADERO
03Apr2015:18:11:13.000000,2500,760-779,,"Ingreso mensual neto 2,080...El cliente no tiene deuda",NORTHERN CALIFORNIA,FALSO
03Apr2015:18:29:21.000000,2800,780-799,,El cliente no tiene deuda,NEVADA,FALSO
03Apr2015:18:40:12.000000,4000,720-739,"$1-$10,000","Ingreso anual neto: $15,400",WASHINGTON STATE,VERDADERO
06Apr2015:09:07:54.000000,2900,700-719,"$20,001-$30,000",Pagos mensuales de deuda verificados: $360,ARIZONA,FALSO
06Apr2015:09:35:47.000000,4400,720-739,"$1-$10,000",,SOUTHERN CALIFORNIA,VERDADERO
06Apr2015:10:08:45.000000,2800,780-799,"$30,001-$40,000","Ingreso anual neto: $94,100",NORTHERN CALIFORNIA,FALSO
06Apr2015:10:36:39.000000,5200,760-779,"$10,001-$20,000","Ingreso mensual neto 1,250",OREGON,FALSO
06Apr2015:10:52:37.000000,2500,700-719,"$100,000+","Ingreso anual neto: $127,300",SOUTHERN CALIFORNIA,VERDADERO
06Apr2015:11:22:52.000000,2500,740-759,"$10,001-$20,000","Ingreso mensual neto 1,250...Pagos mensuales de deuda verificados: $250",NEVADA,FALSO
06Apr2015:11:49:17.000000,14900,760-779,,,NORTHERN CALIFORNIA,FALSO
06Apr2015:11:58:03.000000,5000,700-719,"$1-$10,000","Ingreso mensual neto 1,330",SOUTHERN CALIFORNIA,FALSO
06Apr2015:12:21:48.000000,2500,700-719,"$10,001-$20,000","Ingreso mensual neto 2,330",ARIZONA,VERDADERO
06Apr2015:12:30:51.000000,5700,720-739,"$50,001-$60,000","Ingreso mensual neto 5,280",OREGON,FALSO
06Apr2015:13:03:30.000000,2500,720-739,,"Ingreso mensual neto 12,170",ARIZONA,FALSO
06Apr2015:13:27:36.000000,3600,700-719,"$40,001-$50,000","Ingreso anual neto: $32,800",NEVADA,FALSO
06Apr2015:14:01:14.000000,2500,760-779,,"Ingreso mensual neto 16,670...El cliente no tiene deuda",ARIZONA,FALSO
06Apr2015:14:25:40.000000,3800,760-779,"$1-$10,000","Ingreso anual neto: $59,700",SOUTHERN CALIFORNIA,FALSO
06Apr2015:14:41:41.000000,2500,720-739,,,ARIZONA,VERDADERO
06Apr2015:14:54:18.000000,9100,740-759,"$10,001-$20,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
06Apr2015:15:11:17.000000,2500,700-719,"$100,000+","Ingreso anual neto: $126,100",NORTHERN CALIFORNIA,FALSO
06Apr2015:15:33:51.000000,4900,700-719,,,ARIZONA,FALSO
06Apr2015:16:07:25.000000,3500,720-739,,"Ingreso anual neto: $105,800",SOUTHERN CALIFORNIA,FALSO
06Apr2015:16:34:44.000000,2500,700-719,"$50,001-$60,000","Ingreso anual neto: $126,200",NORTHERN CALIFORNIA,FALSO
06Apr2015:16:58:26.000000,8200,800+,,"Ingreso anual neto: $52,200",NORTHERN CALIFORNIA,FALSO
06Apr2015:17:31:33.000000,5900,700-719,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
06Apr2015:17:54:47.000000,2500,720-739,"$1-$10,000","Ingreso mensual neto 9,480",SOUTHERN CALIFORNIA,FALSO
06Apr2015:18:26:27.000000,2500,760-779,"$50,001-$60,000","Pagos mensuales de deuda verificados: $940...Ingreso mensual neto 3,220",NEVADA,FALSO
06Apr2015:18:57:28.000000,7800,720-739,,"Ingreso anual neto: $156,700...El cliente no tiene deuda",SOUTHERN CALIFORNIA,FALSO
07Apr2015:09:08:02.000000,3100,700-719,"$10,001-$20,000","Ingreso anual neto: $15,000...Pagos mensuales de deuda verificados: $240",NEVADA,FALSO
07Apr2015:09:18:21.000000,2500,700-719,"$20,001-$30,000","Ingreso mensual neto 1,450",SOUTHERN CALIFORNIA,FALSO
07Apr2015:09:41:41.000000,2500,720-739,"$60,001-$70,000",,SOUTHERN CALIFORNIA,FALSO
07Apr2015:09:51:14.000000,2500,780-799,"$60,001-$70,000",,WASHINGTON STATE,VERDADERO
07Apr2015:09:59:38.000000,13800,760-779,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
07Apr2015:10:09:40.000000,2500,700-719,"$1-$10,000","Ingreso anual neto: $15,800",OREGON,FALSO
07Apr2015:10:32:36.000000,2500,720-739,,,NORTHERN CALIFORNIA,VERDADERO
07Apr2015:10:41:32.000000,8300,700-719,,"Ingreso anual neto: $200,000",NEVADA,FALSO
07Apr2015:11:05:49.000000,4800,740-759,"$1-$10,000","Ingreso mensual neto 1,250...Pagos mensuales de deuda verificados: $160",OREGON,FALSO
07Apr2015:11:37:06.000000,4500,760-779,"$10,001-$20,000",,WASHINGTON STATE,FALSO
07Apr2015:11:56:11.000000,5700,780-799,"$100,000+",,SOUTHERN CALIFORNIA,VERDADERO
07Apr2015:12:13:02.000000,2500,780-799,,,SOUTHERN CALIFORNIA,FALSO
07Apr2015:12:46:11.000000,5400,700-719,"$20,001-$30,000","Ingreso anual neto: $19,700",SOUTHERN CALIFORNIA,VERDADERO
07Apr2015:13:10:18.000000,2500,700-719,"$1-$10,000",,OREGON,FALSO
07Apr2015:13:31:17.000000,2500,780-799,"$1-$10,000",,OREGON,FALSO
07Apr2015:13:59:04.000000,14200,780-799,,,NEVADA,FALSO
07Apr2015:14:25:57.000000,4800,700-719,"$1-$10,000",Pagos mensuales de deuda verificados: $50,NEVADA,FALSO
07Apr2015:14:52:09.000000,21700,740-759,"$90,001-$100,000","Ingreso anual neto: $200,000...Pagos mensuales de deuda verificados: $1,670",SOUTHERN CALIFORNIA,FALSO
07Apr2015:15:21:49.000000,2500,720-739,,El cliente no tiene deuda,ARIZONA,FALSO
07Apr2015:15:40:55.000000,2500,740-759,"$80,001-$90,000","Ingreso mensual neto 16,110",WASHINGTON STATE,FALSO
07Apr2015:16:00:56.000000,2500,740-759,"$10,001-$20,000","Ingreso anual neto: $30,500",OREGON,FALSO
07Apr2015:16:20:11.000000,2500,700-719,"$40,001-$50,000","Ingreso anual neto: $200,000",SOUTHERN CALIFORNIA,FALSO
07Apr2015:16:27:10.000000,2500,780-799,"$10,001-$20,000",Pagos mensuales de deuda verificados: $270,OREGON,FALSO
07Apr2015:16:40:56.000000,12500,760-779,"$100,000+","Pagos mensuales de deuda verificados: $1,820",WASHINGTON STATE,VERDADERO
07Apr2015:16:49:59.000000,4700,740-759,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
07Apr2015:17:17:26.000000,2500,740-759,"$100,000+",,SOUTHERN CALIFORNIA,FALSO
07Apr2015:17:39:54.000000,2500,740-759,"$90,001-$100,000","Pagos mensuales de deuda verificados: $1,580",NORTHERN CALIFORNIA,FALSO
07Apr2015:18:03:57.000000,13500,780-799,"$20,001-$30,000","Ingreso anual neto: $58,800",WASHINGTON STATE,FALSO
07Apr2015:18:34:07.000000,3400,760-779,"$10,001-$20,000","Ingreso anual neto: $22,500",SOUTHERN CALIFORNIA,FALSO
07Apr2015:18:56:38.000000,2500,800+,,"Ingreso mensual neto 6,290",OREGON,FALSO
08Apr2015:09:14:38.000000,3100,700-719,"$10,001-$20,000",,ARIZONA,FALSO
08Apr2015:09:32:57.000000,7400,740-759,"$90,001-$100,000","Ingreso anual neto: $67,200",ARIZONA,FALSO
08Apr2015:09:44:19.000000,2500,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
08Apr2015:10:05:44.000000,2500,720-739,"$10,001-$20,000","Pagos mensuales de deuda verificados: $250...Ingreso anual neto: $69,300",NORTHERN CALIFORNIA,FALSO
08Apr2015:10:16:51.000000,3000,720-739,"$20,001-$30,000",Pagos mensuales de deuda verificados: $380,OREGON,FALSO
08Apr2015:10:30:01.000000,10200,800+,"$1-$10,000","Ingreso mensual neto 1,390",OREGON,FALSO
08Apr2015:10:38:22.000000,11900,740-759,,"Ingreso anual neto: $66,200",SOUTHERN CALIFORNIA,FALSO
08Apr2015:11:10:58.000000,2900,700-719,,"Ingreso mensual neto 8,620",WASHINGTON STATE,FALSO
08Apr2015:11:23:53.000000,12100,700-719,"$10,001-$20,000","Ingreso mensual neto 1,250",ARIZONA,FALSO
08Apr2015:11:35:03.000000,3800,780-799,"$30,001-$40,000","Ingreso anual neto: $29,700",OREGON,FALSO
08Apr2015:11:44:37.000000,2800,760-779,"$100,000+","Ingreso anual neto: $162,700...Pagos mensuales de deuda verificados: $3,120",ARIZONA,FALSO
08Apr2015:11:55:30.000000,2500,720-739,"$10,001-$20,000","Ingreso anual neto: $25,700...Pagos mensuales de deuda verificados: $310",NEVADA,FALSO
08Apr2015:12:24:36.000000,8600,740-759,,El cliente no tiene deuda,NEVADA,FALSO
08Apr2015:12:57:18.000000,3000,720-739,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
08Apr2015:13:21:37.000000,18200,700-719,"$1-$10,000","Ingreso mensual neto 1,330",ARIZONA,FALSO
08Apr2015:13:40:38.000000,2500,700-719,,"El cliente no tiene deuda...Ingreso mensual neto 10,080",NORTHERN CALIFORNIA,FALSO
08Apr2015:14:01:23.000000,2500,700-719,"$30,001-$40,000","Ingreso anual neto: $56,400...Pagos mensuales de deuda verificados: $640",ARIZONA,FALSO
08Apr2015:14:30:04.000000,2600,700-719,,El cliente no tiene deuda,ARIZONA,VERDADERO
08Apr2015:14:48:12.000000,6900,720-739,"$30,001-$40,000",,SOUTHERN CALIFORNIA,FALSO
08Apr2015:14:55:58.000000,3700,760-779,"$60,001-$70,000",,SOUTHERN CALIFORNIA,FALSO
08Apr2015:15:27:07.000000,10000,780-799,"$40,001-$50,000",,NEVADA,FALSO
08Apr2015:15:48:16.000000,5700,760-779,"$20,001-$30,000",,NORTHERN CALIFORNIA,FALSO
08Apr2015:16:16:21.000000,8800,760-779,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
08Apr2015:16:31:50.000000,13600,780-799,"$20,001-$30,000","Pagos mensuales de deuda verificados: $450...Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
08Apr2015:16:38:10.000000,4100,740-759,,"Ingreso mensual neto 16,670",SOUTHERN CALIFORNIA,FALSO
08Apr2015:16:55:28.000000,2500,780-799,"$100,000+","Ingreso mensual neto 7,570",ARIZONA,FALSO
08Apr2015:17:03:44.000000,5600,780-799,"$30,001-$40,000","Ingreso mensual neto 5,790",SOUTHERN CALIFORNIA,FALSO
08Apr2015:17:12:20.000000,4900,700-719,"$100,000+",,SOUTHERN CALIFORNIA,FALSO
08Apr2015:17:26:15.000000,2500,760-779,"$1-$10,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
08Apr2015:17:39:03.000000,5500,720-739,,El cliente no tiene deuda,OREGON,FALSO
08Apr2015:18:01:12.000000,4500,760-779,"$10,001-$20,000","Ingreso mensual neto 1,760",SOUTHERN CALIFORNIA,FALSO
08Apr2015:18:27:51.000000,2500,740-759,"$100,000+","Ingreso anual neto: $64,200",ARIZONA,FALSO
09Apr2015:09:11:26.000000,3800,700-719,,,OREGON,VERDADERO
09Apr2015:09:38:58.000000,11200,720-739,"$20,001-$30,000",,NORTHERN CALIFORNIA,FALSO
09Apr2015:09:49:06.000000,4200,740-759,,,NORTHERN CALIFORNIA,FALSO
09Apr2015:10:22:34.000000,4000,800+,"$60,001-$70,000","Ingreso anual neto: $92,100",NORTHERN CALIFORNIA,FALSO
09Apr2015:10:40:16.000000,4300,700-719,"$10,001-$20,000","Ingreso anual neto: $15,700",NORTHERN CALIFORNIA,FALSO
09Apr2015:10:48:06.000000,7100,700-719,"$100,000+",,NORTHERN CALIFORNIA,VERDADERO
09Apr2015:11:02:38.000000,2500,780-799,"$1-$10,000","Ingreso anual neto: $88,200",NORTHERN CALIFORNIA,FALSO
09Apr2015:11:28:03.000000,7500,740-759,"$10,001-$20,000",Pagos mensuales de deuda verificados: $270,ARIZONA,FALSO
09Apr2015:12:02:01.000000,15400,800+,,El cliente no tiene deuda,ARIZONA,FALSO
09Apr2015:12:25:12.000000,5000,780-799,"$20,001-$30,000","Ingreso mensual neto 1,250",SOUTHERN CALIFORNIA,FALSO
09Apr2015:12:51:47.000000,2500,760-779,,"Ingreso mensual neto 16,670",NEVADA,FALSO
09Apr2015:13:16:32.000000,2900,740-759,"$10,001-$20,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
09Apr2015:13:41:58.000000,2500,700-719,,"El cliente no tiene deuda...Ingreso anual neto: $34,700",WASHINGTON STATE,FALSO
09Apr2015:13:56:33.000000,6600,760-779,"$10,001-$20,000","Ingreso mensual neto 2,340",NEVADA,FALSO
09Apr2015:14:28:08.000000,2500,700-719,,"El cliente no tiene deuda...Ingreso mensual neto 1,250",NORTHERN CALIFORNIA,FALSO
09Apr2015:14:41:37.000000,5800,700-719,,,SOUTHERN CALIFORNIA,FALSO
09Apr2015:15:11:06.000000,2700,740-759,"$10,001-$20,000",,NEVADA,FALSO
09Apr2015:15:25:22.000000,35000,780-799,,El cliente no tiene deuda,ARIZONA,FALSO
09Apr2015:15:55:40.000000,2900,720-739,"$10,001-$20,000",Pagos mensuales de deuda verificados: $230,SOUTHERN CALIFORNIA,FALSO
09Apr2015:16:19:44.000000,9100,800+,,,ARIZONA,FALSO
09Apr2015:16:51:51.000000,4200,740-759,,"Ingreso anual neto: $69,400",NORTHERN CALIFORNIA,FALSO
09Apr2015:17:16:50.000000,11000,760-779,,El cliente no tiene deuda,ARIZONA,VERDADERO
09Apr2015:17:27:59.000000,2500,700-719,"$50,001-$60,000","Ingreso mensual neto 4,030...Pagos mensuales de deuda verificados: $880",NEVADA,FALSO
09Apr2015:18:01:59.000000,7300,700-719,,,ARIZONA,FALSO
09Apr2015:18:28:04.000000,2500,720-739,,,ARIZONA,FALSO
09Apr2015:18:56:21.000000,18400,760-779,,El cliente no tiene deuda,WASHINGTON STATE,FALSO
10Apr2015:09:10:24.000000,2500,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,VERDADERO
10Apr2015:09:34:18.000000,8300,700-719,"$1-$10,000",Pagos mensuales de deuda verificados: $150,NEVADA,FALSO
10Apr2015:09:44:03.000000,2500,780-799,"$1-$10,000","Ingreso mensual neto 1,250",OREGON,FALSO
10Apr2015:10:03:54.000000,3000,720-739,"$50,001-$60,000","Ingreso anual neto: $35,400",NORTHERN CALIFORNIA,FALSO
10Apr2015:10:19:24.000000,2500,720-739,,"Ingreso anual neto: $23,700",NORTHERN CALIFORNIA,FALSO
10Apr2015:10:26:25.000000,2500,740-759,"$20,001-$30,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
10Apr2015:10:53:16.000000,2500,700-719,"$1-$10,000","Ingreso anual neto: $29,800",SOUTHERN CALIFORNIA,FALSO
10Apr2015:11:00:35.000000,3900,700-719,"$60,001-$70,000","Ingreso anual neto: $52,400",NORTHERN CALIFORNIA,FALSO
10Apr2015:11:07:46.000000,2500,780-799,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
10Apr2015:11:40:57.000000,9900,780-799,,,ARIZONA,FALSO
10Apr2015:11:56:18.000000,7700,700-719,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,FALSO
10Apr2015:12:15:09.000000,2500,700-719,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
10Apr2015:12:21:18.000000,2500,740-759,,"Ingreso anual neto: $67,300",WASHINGTON STATE,FALSO
10Apr2015:12:53:03.000000,5900,760-779,"$1-$10,000","Ingreso mensual neto 6,300",WASHINGTON STATE,FALSO
10Apr2015:13:00:26.000000,2500,760-779,"$1-$10,000","Ingreso anual neto: $36,900",SOUTHERN CALIFORNIA,FALSO
10Apr2015:13:30:07.000000,2500,700-719,"$70,001-$80,000","Pagos mensuales de deuda verificados: $1,320",SOUTHERN CALIFORNIA,FALSO
10Apr2015:13:37:13.000000,2500,700-719,,"Ingreso anual neto: $108,400",ARIZONA,FALSO
10Apr2015:14:05:58.000000,2500,800+,,,ARIZONA,FALSO
10Apr2015:14:37:49.000000,4000,800+,"$10,001-$20,000",,NEVADA,FALSO
10Apr2015:15:03:22.000000,2500,780-799,"$1-$10,000","Ingreso anual neto: $15,000",ARIZONA,FALSO
10Apr2015:15:11:18.000000,6700,700-719,"$1-$10,000","Ingreso mensual neto 1,760",SOUTHERN CALIFORNIA,FALSO
10Apr2015:15:32:08.000000,2500,740-759,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
10Apr2015:15:53:50.000000,2900,780-799,"$60,001-$70,000",,NORTHERN CALIFORNIA,FALSO
10Apr2015:16:09:48.000000,2500,700-719,"$100,000+","Ingreso mensual neto 15,330",SOUTHERN CALIFORNIA,FALSO
10Apr2015:16:24:05.000000,2500,740-759,,,NORTHERN CALIFORNIA,FALSO
10Apr2015:16:50:29.000000,5700,700-719,"$100,000+",,SOUTHERN CALIFORNIA,VERDADERO
10Apr2015:17:08:06.000000,2500,760-779,"$30,001-$40,000","Ingreso mensual neto 2,380...Pagos mensuales de deuda verificados: $530",SOUTHERN CALIFORNIA,FALSO
10Apr2015:17:23:58.000000,2500,740-759,"$20,001-$30,000","Ingreso mensual neto 1,250",ARIZONA,VERDADERO
10Apr2015:17:44:23.000000,2500,780-799,"$100,000+",,ARIZONA,VERDADERO
10Apr2015:18:07:47.000000,24700,760-779,"$40,001-$50,000",Pagos mensuales de deuda verificados: $820,NORTHERN CALIFORNIA,FALSO
10Apr2015:18:18:29.000000,2500,720-739,,"Ingreso mensual neto 7,280",SOUTHERN CALIFORNIA,FALSO
10Apr2015:18:41:54.000000,2500,700-719,"$20,001-$30,000","Ingreso anual neto: $38,700",NEVADA,FALSO
13Apr2015:09:03:43.000000,14600,700-719,,,SOUTHERN CALIFORNIA,FALSO
13Apr2015:09:15:08.000000,2500,720-739,"$60,001-$70,000",,NORTHERN CALIFORNIA,FALSO
13Apr2015:09:36:16.000000,17500,780-799,"$60,001-$70,000","Ingreso mensual neto 4,100",SOUTHERN CALIFORNIA,FALSO
13Apr2015:09:57:38.000000,2500,740-759,"$1-$10,000","Ingreso anual neto: $59,600",ARIZONA,FALSO
13Apr2015:10:03:48.000000,3700,740-759,"$100,000+","Ingreso anual neto: $90,400",WASHINGTON STATE,FALSO
13Apr2015:10:29:47.000000,3300,720-739,"$20,001-$30,000","Ingreso anual neto: $23,000",SOUTHERN CALIFORNIA,FALSO
13Apr2015:10:43:08.000000,2500,740-759,"$10,001-$20,000",,ARIZONA,FALSO
13Apr2015:10:58:53.000000,7900,740-759,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
13Apr2015:11:11:24.000000,2500,720-739,"$10,001-$20,000","Ingreso anual neto: $30,300",ARIZONA,FALSO
13Apr2015:11:36:41.000000,2500,700-719,"$100,000+",,OREGON,FALSO
13Apr2015:12:01:51.000000,18500,720-739,,,SOUTHERN CALIFORNIA,FALSO
13Apr2015:12:33:59.000000,4100,740-759,"$20,001-$30,000","Ingreso mensual neto 1,250",NEVADA,FALSO
13Apr2015:12:44:23.000000,2500,760-779,"$100,000+",,SOUTHERN CALIFORNIA,FALSO
13Apr2015:13:15:25.000000,35000,740-759,,"Ingreso mensual neto 12,880...El cliente no tiene deuda",NORTHERN CALIFORNIA,FALSO
13Apr2015:13:25:26.000000,2500,700-719,"$10,001-$20,000","Pagos mensuales de deuda verificados: $310...Ingreso anual neto: $23,600",NORTHERN CALIFORNIA,FALSO
13Apr2015:13:34:35.000000,10800,720-739,"$60,001-$70,000","Pagos mensuales de deuda verificados: $1,160",NEVADA,FALSO
13Apr2015:13:54:02.000000,3300,700-719,"$50,001-$60,000",,ARIZONA,FALSO
13Apr2015:14:07:01.000000,2500,740-759,"$1-$10,000",,ARIZONA,FALSO
13Apr2015:14:35:58.000000,2600,740-759,"$20,001-$30,000",,ARIZONA,FALSO
13Apr2015:15:03:24.000000,17200,780-799,"$40,001-$50,000",Pagos mensuales de deuda verificados: $730,SOUTHERN CALIFORNIA,FALSO
13Apr2015:15:23:22.000000,33400,720-739,,"Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
13Apr2015:15:32:26.000000,2500,760-779,"$20,001-$30,000","Ingreso mensual neto 1,910...Pagos mensuales de deuda verificados: $430",SOUTHERN CALIFORNIA,FALSO
13Apr2015:16:01:21.000000,2500,740-759,"$1-$10,000","Ingreso mensual neto 2,590",NEVADA,VERDADERO
13Apr2015:16:14:08.000000,14800,740-759,,"El cliente no tiene deuda...Ingreso anual neto: $119,700",NORTHERN CALIFORNIA,VERDADERO
13Apr2015:16:46:52.000000,11500,720-739,"$100,000+","Ingreso mensual neto 9,510...Pagos mensuales de deuda verificados: $2,740",NORTHERN CALIFORNIA,VERDADERO
13Apr2015:17:13:01.000000,4900,720-739,,,SOUTHERN CALIFORNIA,FALSO
13Apr2015:17:24:39.000000,2500,700-719,"$20,001-$30,000",,WASHINGTON STATE,FALSO
13Apr2015:17:49:30.000000,5600,740-759,"$20,001-$30,000","Ingreso anual neto: $21,900",NORTHERN CALIFORNIA,FALSO
13Apr2015:18:00:55.000000,8000,740-759,,"El cliente no tiene deuda...Ingreso anual neto: $75,100",NEVADA,FALSO
13Apr2015:18:07:18.000000,7100,700-719,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
13Apr2015:18:22:29.000000,2500,800+,"$20,001-$30,000",,OREGON,FALSO
13Apr2015:18:37:43.000000,21200,780-799,"$80,001-$90,000",,SOUTHERN CALIFORNIA,FALSO
13Apr2015:18:57:25.000000,2500,760-779,"$40,001-$50,000",,NEVADA,FALSO
14Apr2015:09:03:48.000000,2500,700-719,,"Ingreso anual neto: $33,600",NEVADA,FALSO
14Apr2015:09:17:49.000000,5300,720-739,"$20,001-$30,000",,ARIZONA,FALSO
14Apr2015:09:36:48.000000,7500,740-759,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
14Apr2015:10:07:14.000000,5600,700-719,,"Ingreso mensual neto 1,300",WASHINGTON STATE,FALSO
14Apr2015:10:14:47.000000,7700,780-799,"$70,001-$80,000",,WASHINGTON STATE,FALSO
14Apr2015:10:47:10.000000,7600,700-719,"$20,001-$30,000",,ARIZONA,FALSO
14Apr2015:11:14:50.000000,2500,740-759,"$50,001-$60,000","Ingreso anual neto: $74,700",OREGON,FALSO
14Apr2015:11:23:59.000000,3200,700-719,"$50,001-$60,000",,SOUTHERN CALIFORNIA,FALSO
14Apr2015:11:34:01.000000,2500,700-719,"$20,001-$30,000","Pagos mensuales de deuda verificados: $510...Ingreso mensual neto 1,250",NEVADA,FALSO
14Apr2015:11:54:30.000000,6600,780-799,"$10,001-$20,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,VERDADERO
14Apr2015:12:13:53.000000,2700,800+,"$1-$10,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
14Apr2015:12:42:45.000000,6100,700-719,"$70,001-$80,000","Ingreso anual neto: $33,000",SOUTHERN CALIFORNIA,FALSO
14Apr2015:13:08:16.000000,3400,700-719,"$90,001-$100,000",,ARIZONA,FALSO
14Apr2015:13:27:18.000000,2500,740-759,,El cliente no tiene deuda,NORTHERN CALIFORNIA,VERDADERO
14Apr2015:13:37:33.000000,2900,720-739,"$80,001-$90,000",,ARIZONA,FALSO
14Apr2015:14:03:20.000000,9500,800+,,"El cliente no tiene deuda...Ingreso mensual neto 2,470",SOUTHERN CALIFORNIA,FALSO
14Apr2015:14:11:37.000000,3400,760-779,"$20,001-$30,000","Ingreso anual neto: $40,900",WASHINGTON STATE,FALSO
14Apr2015:14:21:36.000000,14800,740-759,"$10,001-$20,000",,WASHINGTON STATE,VERDADERO
